kind,name,time1,price1,time2,price2,color,text
hline,entry,,4167.5,,,#2563EB,Entry
hline,stop_loss,,4175.11787,,,#DC2626,Stop Loss
hline,tp1,,4147.95788,,,#16A34A,Take Profit 1
hline,tp2,,4128.41576,,,#15803D,Take Profit 2
rect,entry_sl,2026-06-18 02:00:00,4167.5,2026-06-19 03:55:00,4175.11787,#DC2626,Entry to SL
rect,entry_tp1,2026-06-18 02:00:00,4167.5,2026-06-19 03:55:00,4147.95788,#16A34A,Entry Tp1
rect,entry_tp2,2026-06-18 02:00:00,4167.5,2026-06-19 03:55:00,4128.41576,#16A34A,Entry Tp2
rect,resistance_1,2026-06-18 02:00:00,4349.29918,2026-06-19 03:55:00,4352.30043,#DC2626,Resistance 1
rect,resistance_2,2026-06-18 02:00:00,4352.39927,2026-06-19 03:55:00,4355.40053,#DC2626,Resistance 2
rect,support_3,2026-06-18 02:00:00,4341.59947,2026-06-19 03:55:00,4344.60073,#16A34A,Support 3
rect,resistance_4,2026-06-18 02:00:00,4362.49937,2026-06-19 03:55:00,4365.50063,#DC2626,Resistance 4
rect,resistance_5,2026-06-18 02:00:00,4360.19957,2026-06-19 03:55:00,4363.20082,#DC2626,Resistance 5
rect,support_6,2026-06-18 02:00:00,4355.29918,2026-06-19 03:55:00,4358.30043,#16A34A,Support 6
rect,resistance_7,2026-06-18 02:00:00,4339.19957,2026-06-19 03:55:00,4342.20082,#DC2626,Resistance 7
rect,resistance_8,2026-06-18 02:00:00,4344.89927,2026-06-19 03:55:00,4347.90053,#DC2626,Resistance 8
rect,bearish_fvg_1,2026-06-18 22:55:00,4220.6001,2026-06-19 03:55:00,4225.2998,#F97316,Bearish FVG 1
hline,bearish_avg_1,,4222.94995,,,#7C3AED,Bearish AVG 1
rect,bearish_fvg_2,2026-06-18 23:40:00,4210.2998,2026-06-19 03:55:00,4212.2002,#F97316,Bearish FVG 2
hline,bearish_avg_2,,4211.25,,,#7C3AED,Bearish AVG 2
rect,bearish_fvg_3,2026-06-19 01:00:00,4205.6001,2026-06-19 03:55:00,4207.7998,#F97316,Bearish FVG 3
hline,bearish_avg_3,,4206.69995,,,#7C3AED,Bearish AVG 3
rect,bearish_fvg_4,2026-06-19 02:40:00,4194.3999,2026-06-19 03:55:00,4197.2998,#F97316,Bearish FVG 4
hline,bearish_avg_4,,4195.84985,,,#7C3AED,Bearish AVG 4
rect,bearish_fvg_5,2026-06-19 02:55:00,4187.3999,2026-06-19 03:55:00,4192.5,#F97316,Bearish FVG 5
hline,bearish_avg_5,,4189.94995,,,#7C3AED,Bearish AVG 5
rect,bearish_fvg_6,2026-06-19 03:25:00,4183.1001,2026-06-19 03:55:00,4184.0,#F97316,Bearish FVG 6
hline,bearish_avg_6,,4183.55005,,,#7C3AED,Bearish AVG 6
label,hh_1,2026-06-18 17:50:00,4252.5,,,#2563EB,HH
label,hh_2,2026-06-18 20:25:00,4238.7002,,,#2563EB,HH
label,hh_3,2026-06-18 22:50:00,4229.2998,,,#2563EB,HH
label,hh_4,2026-06-19 01:00:00,4213.1001,,,#2563EB,HH
label,hl_1,2026-06-18 18:00:00,4246.2002,,,#16A34A,HL
label,hl_2,2026-06-18 20:15:00,4234.0,,,#16A34A,HL
label,hl_3,2026-06-18 23:25:00,4212.1001,,,#16A34A,HL
label,hl_4,2026-06-19 01:05:00,4202.2998,,,#16A34A,HL
label,lh_1,2026-06-19 01:25:00,4209.7998,,,#F97316,LH
label,lh_2,2026-06-19 02:00:00,4204.0,,,#F97316,LH
label,lh_3,2026-06-19 02:40:00,4201.3999,,,#F97316,LH
label,lh_4,2026-06-19 03:20:00,4188.5,,,#F97316,LH
label,ll_1,2026-06-19 01:20:00,4201.2002,,,#DC2626,LL
label,ll_2,2026-06-19 02:15:00,4192.5,,,#DC2626,LL
label,ll_3,2026-06-19 03:15:00,4182.5,,,#DC2626,LL
label,ll_4,2026-06-19 03:40:00,4175.1001,,,#DC2626,LL
